STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1314,ALL_RATE_1314,MAM_COHORT_1314,MAM_RATE_1314,MAS_COHORT_1314,MAS_RATE_1314,MBL_COHORT_1314,MBL_RATE_1314,MHI_COHORT_1314,MHI_RATE_1314,MTR_COHORT_1314,MTR_RATE_1314,MWH_COHORT_1314,MWH_RATE_1314,CWD_COHORT_1314,CWD_RATE_1314,ECD_COHORT_1314,ECD_RATE_1314,LEP_COHORT_1314,LEP_RATE_1314,INSERT_DATE,DATE_CUR
ALABAMA,01,0100005,Albertville City,010000500871,Albertville High Sch,248,94,1,PS,1,PS,4,PS,64,GE95,.,.,178,90-94,11,GE50,117,90-94,13,GE50,30AUG15,29AUG15
ALABAMA,01,0100006,Marshall County,010000600872,Asbury Sch,65,GE95,.,.,.,.,.,.,10,GE50,1,PS,54,GE90,3,PS,54,GE90,1,PS,30AUG15,29AUG15
ALABAMA,01,0100006,Marshall County,010000600878,Douglas High Sch,127,85-89,.,.,.,.,3,PS,24,GE80,.,.,100,80-84,18,60-79,82,80-84,2,PS,30AUG15,29AUG15
ALABAMA,01,0100006,Marshall County,010000600883,Kate D Smith DAR High Sch,116,85-89,.,.,.,.,1,PS,3,PS,1,PS,111,85-89,12,GE50,61,80-84,.,.,30AUG15,29AUG15
ALABAMA,01,0100006,Marshall County,010000601585,Brindlee Mt High Sch,76,85-89,.,.,.,.,1,PS,1,PS,1,PS,73,90-94,9,GE50,37,80-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100007,Hoover City,010000700251,Hoover High Sch,643,94,.,.,52,GE90,146,90-94,35,80-89,13,GE50,397,96,37,70-79,129,85-89,5,PS,30AUG15,29AUG15
ALABAMA,01,0100007,Hoover City,010000700337,Berry Middle Sch,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,.,.,.,.,30AUG15,29AUG15
ALABAMA,01,0100007,Hoover City,010000701456,Spain Park High Sch,377,95,.,.,13,GE50,81,90-94,15,GE50,10,GE50,258,GE95,12,GE50,67,85-89,3,PS,30AUG15,29AUG15
ALABAMA,01,0100008,Madison City,010000800495,Discovery Middle Sch,2,PS,.,.,.,.,.,.,1,PS,.,.,1,PS,.,.,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100008,Madison City,010000800831,Bob Jones High Sch,595,98,2,PS,25,GE80,112,GE95,20,GE80,9,GE50,427,98,3,PS,94,GE95,3,PS,30AUG15,29AUG15
ALABAMA,01,0100008,Madison City,010000801798,Liberty Middle Sch,4,PS,.,.,.,.,1,PS,.,.,.,.,3,PS,.,.,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100008,Madison City,010000802198,James Clemens High Sch,256,96,.,.,15,GE50,66,90-94,6,GE50,5,PS,164,GE95,13,GE50,47,80-89,4,PS,30AUG15,29AUG15
ALABAMA,01,0100011,Leeds City,010001102096,Leeds High Sch,111,80-84,2,PS,.,.,35,70-79,10,GE50,2,PS,62,80-84,6,LT50,51,70-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100012,Boaz City,010001200874,Boaz High Sch,134,90-94,.,.,7,GE50,.,.,12,GE50,.,.,115,90-94,6,GE50,61,85-89,6,GE50,30AUG15,29AUG15
ALABAMA,01,0100013,Trussville City,010001301682,Hewitt-Trussville High Sch,374,97,1,PS,8,GE50,32,GE90,4,PS,2,PS,327,97,27,GE80,39,GE90,3,PS,30AUG15,29AUG15
ALABAMA,01,0100030,Alexander City,010003000003,Benjamin Russell High Sch,251,87,.,.,1,PS,88,85-89,6,GE50,1,PS,155,85-89,24,60-79,125,80-84,.,.,30AUG15,29AUG15
ALABAMA,01,0100060,Andalusia City,010006000007,Andalusia High Sch,119,GE95,.,.,3,PS,36,GE90,1,PS,.,.,79,GE95,4,PS,49,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0100090,Anniston City,010009000011,Anniston High Sch,170,75-79,.,.,.,.,160,75-79,3,PS,1,PS,6,LT50,13,GE50,142,75-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100090,Anniston City,010009001725,Anniston Middle Sch,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100100,Arab City,010010000028,Arab High Sch,214,94,4,PS,1,PS,1,PS,5,PS,.,.,203,90-94,20,GE80,45,70-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100120,Athens City,010012001472,Athens High Sch,219,94,3,PS,4,PS,56,GE90,20,GE80,1,PS,135,90-94,13,GE50,81,90-94,1,PS,30AUG15,29AUG15
ALABAMA,01,0100180,Attalla City,010018000033,Etowah High Sch,214,72,1,PS,.,.,30,60-79,9,GE50,4,PS,170,70-74,19,21-39,134,65-69,.,.,30AUG15,29AUG15
ALABAMA,01,0100185,Saraland City,010018502137,Saraland High Sch,231,90,3,PS,2,PS,47,80-89,7,GE50,.,.,172,90-94,19,60-79,100,85-89,.,.,30AUG15,29AUG15
ALABAMA,01,0100188,Chickasaw City,010018802194,Chickasaw City High Sch,20,GE80,.,.,.,.,11,GE50,.,.,.,.,9,GE50,3,PS,16,GE80,.,.,30AUG15,29AUG15
ALABAMA,01,0100189,Satsuma City,010018902195,Satsuma City High School,112,GE95,.,.,.,.,17,GE80,.,.,.,.,95,GE95,6,GE50,42,GE90,.,.,30AUG15,29AUG15
ALABAMA,01,0100190,Alabaster City,010019001183,Thompson High School,426,97,.,.,4,PS,66,GE95,52,GE90,3,PS,301,98,23,60-79,125,GE95,8,GE50,30AUG15,29AUG15
ALABAMA,01,0100210,Auburn City,010021000036,Auburn High Sch,522,94,2,PS,57,GE90,148,90-94,13,GE50,3,PS,299,GE95,42,60-69,135,85-89,7,GE50,30AUG15,29AUG15
ALABAMA,01,0100210,Auburn City,010021000037,Auburn Jr High Sch,25,LE20,.,.,3,PS,11,LT50,3,PS,.,.,8,LT50,.,.,16,LE20,2,PS,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024000045,Billingsley High Sch,42,70-79,.,.,.,.,14,GE50,.,.,.,.,28,60-79,5,PS,28,60-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024000046,Marbury Sch,151,85-89,.,.,1,PS,27,60-79,1,PS,.,.,122,85-89,5,PS,61,70-74,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024000048,Prattville High Sch,476,86,2,PS,16,GE80,129,80-84,7,GE50,2,PS,320,88,41,50-59,151,75-79,3,PS,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024000051,Prattville Primary Sch,2,PS,.,.,.,.,.,.,1,PS,.,.,1,PS,.,.,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024000546,Daniel Pratt Elem Sch,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024001408,Autaugaville Sch,22,60-79,.,.,.,.,22,60-79,.,.,.,.,.,.,2,PS,18,60-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024001550,Louise M Smith Dev Ctr,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,.,.,.,.,30AUG15,29AUG15
ALABAMA,01,0100240,Autauga County,010024002159,Marbury Middle Sch,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,.,.,.,.,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027000024,Robertsdale High Sch,322,82,1,PS,1,PS,31,70-79,16,GE80,.,.,273,80-84,20,21-39,130,70-74,3,PS,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027000100,Fairhope High Sch,394,87,1,PS,1,PS,46,70-79,6,GE50,1,PS,339,88,28,40-59,115,80-84,.,.,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027000641,Gulf Shores High Sch,207,83,1,PS,2,PS,6,GE50,8,GE50,.,.,190,80-84,9,LT50,60,70-79,1,PS,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027001759,Daphne High Sch,311,91,.,.,4,PS,67,90-94,11,GE50,3,PS,226,90-94,13,LT50,74,80-84,1,PS,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027001784,Foley High Sch,460,75,3,PS,.,.,58,60-69,24,GE80,1,PS,374,75,57,60-69,246,70-74,3,PS,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027001810,Baldwin Co High Sch,290,83,6,GE50,1,PS,80,75-79,3,PS,.,.,200,85-89,24,LE20,147,75-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100270,Baldwin County,010027002073,Spanish Fort High Sch,265,94,2,PS,5,PS,24,GE80,7,GE50,.,.,227,90-94,2,PS,30,GE80,1,PS,30AUG15,29AUG15
ALABAMA,01,0100300,Barbour County,010030000074,Barbour Co High Sch,93,80-84,.,.,.,.,88,80-84,1,PS,.,.,4,PS,19,60-79,92,80-84,1,PS,30AUG15,29AUG15
ALABAMA,01,0100300,Barbour County,010030001557,Barbour County Middle School,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,1,PS,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100330,Bessemer City,010033000087,Jess Lanier High Sch,250,73,.,.,.,.,237,70-74,9,GE50,.,.,4,PS,44,50-59,202,75-79,3,PS,30AUG15,29AUG15
ALABAMA,01,0100360,Bibb County,010036000092,Bibb Co High Sch,145,70-74,.,.,2,PS,55,70-79,3,PS,.,.,85,70-74,20,60-79,88,70-74,1,PS,30AUG15,29AUG15
ALABAMA,01,0100360,Bibb County,010036000099,West Blocton High Sch,104,90-94,.,.,1,PS,13,GE50,3,PS,1,PS,86,90-94,11,GE50,67,90-94,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000141,Huffman High Sch-Magnet,305,90,.,.,2,PS,289,90-94,6,GE50,2,PS,6,LT50,45,80-89,224,85-89,2,PS,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000164,Jackson-Olin High Sch,289,72,.,.,.,.,283,70-74,3,PS,1,PS,2,PS,37,40-49,256,75-79,2,PS,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000165,Parker High Sch,220,79,.,.,.,.,217,75-79,.,.,2,PS,1,PS,28,60-79,194,75-79,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000176,Ramsay High Sch,121,GE95,.,.,.,.,118,GE95,.,.,.,.,3,PS,.,.,64,GE95,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000192,Wenonah High Sch,219,79,.,.,.,.,217,75-79,.,.,.,.,2,PS,33,70-79,182,80-84,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039000198,Woodlawn High Sch-Magnet,231,79,.,.,.,.,218,80-84,10,GE50,1,PS,2,PS,43,80-89,209,80-84,7,GE50,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039001296,Adolescent Day Treatment,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,1,PS,1,PS,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039001446,Martha Gaskins Middle Sch,1,PS,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,.,.,.,.,30AUG15,29AUG15
ALABAMA,01,0100390,Birmingham City,010039001468,George Washington Carver High Sch,275,70,1,PS,2,PS,248,70-74,20,40-59,.,.,4,PS,40,60-69,244,70-74,9,GE50,30AUG15,29AUG15
