STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_COHORT_1415,ALL_RATE_1415,MAM_COHORT_1415,MAM_RATE_1415,MAS_COHORT_1415,MAS_RATE_1415,MBL_COHORT_1415,MBL_RATE_1415,MHI_COHORT_1415,MHI_RATE_1415,MTR_COHORT_1415,MTR_RATE_1415,MWH_COHORT_1415,MWH_RATE_1415,CWD_COHORT_1415,CWD_RATE_1415,ECD_COHORT_1415,ECD_RATE_1415,LEP_COHORT_1415,LEP_RATE_1415,DATE_CUR
ALABAMA,01,0100005,Albertville City,010000500871,Albertville High Sch,252,91,.,.,1,PS,5,PS,66,85-89,2,PS,178,90-94,13,LT50,95,75-79,9,GE50,26NOV16
ALABAMA,01,0100006,Marshall County,010000600872,Asbury Sch,63,GE95,1,PS,.,.,.,.,12,GE50,.,.,50,GE90,12,GE50,49,GE90,2,PS,26NOV16
ALABAMA,01,0100006,Marshall County,010000600878,Douglas High Sch,114,85-89,1,PS,.,.,2,PS,26,GE80,.,.,85,80-84,12,GE50,76,80-84,2,PS,26NOV16
ALABAMA,01,0100006,Marshall County,010000600883,Kate D Smith DAR High Sch,102,90-94,.,.,.,.,1,PS,3,PS,.,.,98,90-94,13,GE50,41,80-89,.,.,26NOV16
ALABAMA,01,0100006,Marshall County,010000601585,Brindlee Mt High Sch,90,85-89,.,.,.,.,2,PS,.,.,.,.,88,85-89,15,GE50,59,80-89,.,.,26NOV16
ALABAMA,01,0100007,Hoover City,010000700251,Hoover High Sch,676,92,.,.,50,GE90,190,85-89,29,60-79,22,GE80,385,95,43,50-59,152,80-84,8,GE50,26NOV16
ALABAMA,01,0100007,Hoover City,010000700337,Berry Middle Sch,2,PS,.,.,.,.,.,.,.,.,.,.,2,PS,2,PS,.,.,.,.,26NOV16
ALABAMA,01,0100007,Hoover City,010000701456,Spain Park High Sch,397,95,.,.,22,GE80,85,85-89,20,GE80,10,GE50,260,GE95,19,60-79,86,85-89,6,GE50,26NOV16
ALABAMA,01,0100008,Madison City,010000800495,Discovery Middle Sch,1,PS,.,.,.,.,.,.,.,.,1,PS,.,.,.,.,.,.,.,.,26NOV16
ALABAMA,01,0100008,Madison City,010000800831,Bob Jones High Sch,460,GE99,4,PS,30,GE80,95,GE95,14,GE50,8,GE50,309,GE99,28,GE80,88,GE95,4,PS,26NOV16
ALABAMA,01,0100008,Madison City,010000801798,Liberty Middle Sch,2,PS,.,.,.,.,.,.,.,.,.,.,2,PS,.,.,1,PS,.,.,26NOV16
ALABAMA,01,0100008,Madison City,010000802198,James Clemens High School,397,95,1,PS,23,GE80,93,90-94,15,GE50,9,GE50,256,GE95,29,60-79,69,90-94,5,PS,26NOV16
ALABAMA,01,0100011,Leeds City,010001102096,Leeds High Sch,116,85-89,2,PS,1,PS,38,GE90,8,GE50,2,PS,65,85-89,19,40-59,62,85-89,.,.,26NOV16
ALABAMA,01,0100012,Boaz City,010001200874,Boaz High Sch,151,90-94,3,PS,2,PS,1,PS,24,GE80,1,PS,120,90-94,12,GE50,75,80-84,6,GE50,26NOV16
ALABAMA,01,0100013,Trussville City,010001301682,Hewitt-Trussville High Sch,318,97,.,.,4,PS,34,GE90,2,PS,5,PS,273,GE95,29,GE80,32,GE90,1,PS,26NOV16
ALABAMA,01,0100030,Alexander City,010003000003,Benjamin Russell High Sch,252,84,.,.,.,.,110,85-89,5,PS,.,.,137,80-84,30,40-59,133,75-79,.,.,26NOV16
ALABAMA,01,0100060,Andalusia City,010006000007,Andalusia High Sch,133,GE95,.,.,2,PS,48,GE90,1,PS,1,PS,81,GE95,9,GE50,58,GE90,.,.,26NOV16
ALABAMA,01,0100090,Anniston City,010009000011,Anniston High Sch,118,85-89,.,.,.,.,111,85-89,3,PS,.,.,4,PS,12,GE50,77,80-84,.,.,26NOV16
ALABAMA,01,0100100,Arab City,010010000028,Arab High Sch,233,95,1,PS,.,.,.,.,2,PS,.,.,230,GE95,13,GE50,59,80-89,.,.,26NOV16
ALABAMA,01,0100120,Athens City,010012001472,Athens High Sch,238,97,1,PS,5,PS,59,GE90,28,GE80,1,PS,144,GE95,10,GE50,95,GE95,3,PS,26NOV16
ALABAMA,01,0100180,Attalla City,010018000033,Etowah High Sch,206,78,.,.,.,.,33,80-89,9,GE50,8,GE50,156,75-79,28,60-79,148,70-74,1,PS,26NOV16
ALABAMA,01,0100185,Saraland City,010018502137,Saraland High Sch,218,92,2,PS,.,.,25,GE80,4,PS,3,PS,184,90-94,17,GE80,86,85-89,.,.,26NOV16
ALABAMA,01,0100188,Chickasaw City,010018802194,Chickasaw City High School,40,80-89,.,.,.,.,27,60-79,.,.,.,.,13,GE50,8,GE50,30,GE80,.,.,26NOV16
ALABAMA,01,0100189,Satsuma City,010018902195,Satsuma City High School,114,90-94,2,PS,.,.,12,GE50,.,.,1,PS,99,90-94,3,PS,44,GE90,.,.,26NOV16
ALABAMA,01,0100190,Alabaster City,010019001183,Thompson High School,412,96,1,PS,5,PS,80,GE95,44,GE90,6,GE50,276,GE95,31,50-59,115,90-94,6,GE50,26NOV16
ALABAMA,01,0100194,Pelham City,010019402399,Pelham High School,275,97,1,PS,8,GE50,31,GE90,51,GE90,.,.,184,GE95,17,60-79,69,GE95,5,PS,26NOV16
ALABAMA,01,0100210,Auburn City,010021000036,Auburn High Sch,603,92,2,PS,55,GE90,183,85-89,11,GE50,7,GE50,345,93,43,70-79,158,80-84,5,PS,26NOV16
ALABAMA,01,0100210,Auburn City,010021000037,Auburn Jr High Sch,8,LT50,.,.,.,.,4,PS,.,.,.,.,4,PS,.,.,2,PS,.,.,26NOV16
ALABAMA,01,0100240,Autauga County,010024000045,Billingsley High Sch,62,90-94,.,.,.,.,10,GE50,.,.,.,.,52,GE90,6,GE50,40,GE90,.,.,26NOV16
ALABAMA,01,0100240,Autauga County,010024000046,Marbury Sch,139,85-89,.,.,.,.,27,GE80,3,PS,1,PS,108,85-89,15,GE50,62,75-79,.,.,26NOV16
ALABAMA,01,0100240,Autauga County,010024000048,Prattville High Sch,475,92,2,PS,17,GE80,108,90-94,15,GE50,7,GE50,326,92,43,70-79,149,80-84,5,PS,26NOV16
ALABAMA,01,0100240,Autauga County,010024001408,Autaugaville Sch,30,GE80,.,.,.,.,30,GE80,.,.,.,.,.,.,1,PS,29,60-79,.,.,26NOV16
ALABAMA,01,0100270,Baldwin County,010027000024,Robertsdale High Sch,344,79,3,PS,3,PS,40,80-89,16,GE80,1,PS,281,75-79,67,60-64,151,70-74,1,PS,26NOV16
ALABAMA,01,0100270,Baldwin County,010027000100,Fairhope High Sch,346,94,1,PS,2,PS,28,GE80,9,GE50,.,.,306,95,26,60-79,83,85-89,1,PS,26NOV16
ALABAMA,01,0100270,Baldwin County,010027000641,Gulf Shores High Sch,219,85,.,.,3,PS,4,PS,2,PS,.,.,210,85-89,23,60-79,60,80-89,1,PS,26NOV16
ALABAMA,01,0100270,Baldwin County,010027001759,Daphne High Sch,311,93,3,PS,10,GE50,72,90-94,14,GE50,6,GE50,206,90-94,33,80-89,84,85-89,2,PS,26NOV16
ALABAMA,01,0100270,Baldwin County,010027001784,Foley High Sch,450,79,2,PS,2,PS,70,75-79,41,GE90,4,PS,331,77,71,65-69,205,70-74,5,PS,26NOV16
ALABAMA,01,0100270,Baldwin County,010027001810,Baldwin Co High Sch,299,78,4,PS,1,PS,86,70-74,4,PS,3,PS,201,80-84,53,50-59,142,65-69,.,.,26NOV16
ALABAMA,01,0100270,Baldwin County,010027002073,Spanish Fort High Sch,267,92,1,PS,3,PS,28,60-79,11,GE50,1,PS,223,90-94,30,60-79,36,80-89,.,.,26NOV16
ALABAMA,01,0100300,Barbour County,010030000074,Barbour Co High Sch,65,80-84,.,.,.,.,60,80-89,.,.,.,.,5,PS,7,GE50,65,80-84,.,.,26NOV16
ALABAMA,01,0100330,Bessemer City,010033000087,Jess Lanier High Sch,283,72,.,.,.,.,261,70-74,12,GE50,.,.,10,LT50,41,50-59,218,75-79,2,PS,26NOV16
ALABAMA,01,0100360,Bibb County,010036000092,Bibb Co High Sch,138,80-84,1,PS,.,.,51,80-89,3,PS,.,.,83,80-84,17,60-79,81,75-79,2,PS,26NOV16
ALABAMA,01,0100360,Bibb County,010036000099,West Blocton High Sch,124,85-89,.,.,.,.,20,GE80,5,PS,.,.,99,85-89,24,60-79,72,75-79,1,PS,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000141,Huffman High Sch-Magnet,364,80,1,PS,.,.,344,81,9,GE50,3,PS,7,LT50,62,65-69,268,80-84,2,PS,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000164,Jackson-Olin High Sch,285,76,.,.,.,.,279,75-79,3,PS,1,PS,2,PS,53,60-69,236,75-79,1,PS,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000165,Parker High Sch,252,81,.,.,.,.,248,80-84,2,PS,.,.,2,PS,31,60-69,203,75-79,1,PS,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000176,Ramsay High Sch,181,GE95,.,.,.,.,178,GE95,1,PS,.,.,2,PS,3,PS,97,GE95,.,.,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000192,Wenonah High Sch,206,86,.,.,.,.,204,85-89,2,PS,.,.,.,.,29,GE80,158,80-84,.,.,26NOV16
ALABAMA,01,0100390,Birmingham City,010039000198,Woodlawn High Sch-Magnet,214,72,.,.,.,.,203,70-74,5,PS,2,PS,4,PS,47,60-69,173,70-74,3,PS,26NOV16
ALABAMA,01,0100390,Birmingham City,010039001296,Adolescent Day Treatment,1,PS,.,.,.,.,.,.,.,.,.,.,1,PS,.,.,.,.,.,.,26NOV16
ALABAMA,01,0100390,Birmingham City,010039001468,George Washington Carver High Sch,207,76,.,.,1,PS,186,75-79,19,60-79,.,.,1,PS,26,40-59,151,75-79,9,GE50,26NOV16
ALABAMA,01,0100390,Birmingham City,010039001761,Family Court High Sch,10,LT50,.,.,.,.,10,LT50,.,.,.,.,.,.,3,PS,7,LT50,.,.,26NOV16
ALABAMA,01,0100420,Blount County,010042000203,Appalachian ?Sch,51,80-89,.,.,.,.,.,.,2,PS,.,.,49,80-89,8,GE50,27,GE80,.,.,26NOV16
ALABAMA,01,0100420,Blount County,010042000206,Cleveland High Sch,75,90-94,.,.,.,.,.,.,17,GE80,.,.,58,GE90,6,GE50,40,GE90,.,.,26NOV16
ALABAMA,01,0100420,Blount County,010042000208,Hayden High Sch,157,90-94,.,.,2,PS,3,PS,.,.,.,.,152,90-94,16,GE80,60,GE90,.,.,26NOV16
